2013-05-24 01:11:48 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 11
2013-05-24 01:12:45 Blocker  tReadWriteMutex 	 unlockReadWrite 	 --- Снятие всех блокировок на чтение и запись ---. Логин: a
2013-05-24 01:12:45 FileBlocker  tFileBlocker 	 UnlockReadWrite 	 Блокировка таблицы файлов на чтение и запись снята. Логин: a
2013-05-24 01:12:45 Blocker  tReadWriteMutex 	 unlockReadWrite 	 --- Снятие всех блокировок на чтение и запись ---. Логин: a
2013-05-24 01:12:45 (Login: a) tCancelTransaction 	 ExeCommand 	 Отмена транзакции 
2013-05-24 01:12:45 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 11
2013-05-24 01:12:45 DB tDatabaseOp 	 RefreshModelsFiles 	 Формирование списка моделей 
2013-05-24 01:12:45 (Login: a) tGetListModels 	 ExeCommand 	 Передача списка моделей 
2013-05-24 01:12:47 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 11
2013-05-24 01:12:47 DB tDatabaseOp 	 RefreshModelsFiles 	 Формирование списка моделей 
2013-05-24 01:12:47 (Login: a) tGetListModels 	 ExeCommand 	 Передача списка моделей 
2013-05-24 01:13:15 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 11
2013-05-24 01:13:15 DB tDatabaseOp 	 RefreshModelsFiles 	 Формирование списка моделей 
2013-05-24 01:13:15 (Login: a) tGetListModels 	 ExeCommand 	 Передача списка моделей 
2013-05-24 01:13:25 FileBlocker  tFileBlocker 	 UnlockReadWrite 	 === Снятие блокировок со всех файлов на чтение и запись логина === a
2013-05-24 01:13:25 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 01:13:25 FileBlocker  tFileBlocker 	 UnlockReadWrite 	 Блокировка таблицы файлов на запись установлена. Логин: a
2013-05-24 01:13:25 Blocker  tReadWriteMutex 	 unlockReadWrite 	 --- Снятие всех блокировок на чтение и запись ---. Логин: a
2013-05-24 01:13:25 FileBlocker  tFileBlocker 	 UnlockReadWrite 	 Блокировка таблицы файлов на чтение и запись снята. Логин: a
2013-05-24 01:13:25 GUI Dialog 	 Dialog 	 Конец работы 
2013-05-24 01:13:25 GUI tSettings 	 SetFilePath 	 Запись параметров 
----------------------------------------------------
----------------------------------------------------
2013-05-24 01:13:31 GUI tSettings 	SetFilePath	 Чтение параметров 
2013-05-24 01:13:31 GUI Dialog 	 Dialog 	 Начало работы 
2013-05-24 01:13:31 GUI tSettings 	 SetFilePath 	 Запись параметров 
2013-05-24 01:13:31 GUI tServer 	 RefreshDatabase 	 Проверка и обновление базы данных файлов 
2013-05-24 01:13:31 DB tDatabaseOp 	 RefreshModelsFiles 	 Проверка и обновление серверной базы данных 
2013-05-24 01:13:31 DB tDatabaseOp 	 SearchInfo 	 Найден файл описания модели gun_30mm.info
2013-05-24 01:13:31 DB tDatabaseOp 	 SearchInfo 	 Такая модель в базе есть objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 01:13:31 DB tDatabaseOp 	 SearchInfo 	 Такая модель на диске есть objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Подсчет суммарного хеша файлов модели gun_30mm.info
2013-05-24 01:13:31 DB tDatabaseOp 	 CheckFile 	 Проверка файла objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 01:13:31 DB tDatabaseOp 	 CheckFile 	 Файл в базе есть objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 01:13:31 DB tDatabaseOp 	 CheckFile 	 Файл есть на диске objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 01:13:31 DB tDatabaseOp 	 CheckFile 	 Файл не изменялся objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 01:13:31 DB tDatabaseOp 	 CheckInfoFiles 	 Обработка файлов в инфо-папке C:/Server/Project 1/objects/gun_30mm/.gun_30mm.info
2013-05-24 01:13:31 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg
2013-05-24 01:13:31 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg
2013-05-24 01:13:31 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg
2013-05-24 01:13:31 DB tDatabaseOp 	 CheckFile 	 Проверка файла objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 01:13:31 DB tDatabaseOp 	 CheckFile 	 Файл в базе есть objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 01:13:31 DB tDatabaseOp 	 CheckFile 	 Файл есть на диске objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 01:13:31 DB tDatabaseOp 	 CheckFile 	 Файл не изменялся objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Проверим наличие файлов в базе и соответствие базе C:/Server/Project 1/objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть C:/Server/Project 1/objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/gun_30mm/30mm.dds
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/gun_30mm/30mm.dds
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/gun_30mm/30mm.dds
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/gun_30mm/30mm.dds
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/gun_30mm/gun_30mm.mat
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/gun_30mm/gun_30mm.mat
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/gun_30mm/gun_30mm.mat
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/gun_30mm/gun_30mm.mat
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/gun_30mm/gun_30mm.mesh
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файла в базе нет objects/gun_30mm/gun_30mm.mesh
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/gun_30mm/gun_30mm.node
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файла в базе нет objects/gun_30mm/gun_30mm.node
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/gun_30mm/gun_30mm.xml
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файла в базе нет objects/gun_30mm/gun_30mm.xml
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов Common/Pinguins.jpg
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файла в базе нет Common/Pinguins.jpg
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов Common/Desert.jpg
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файла в базе нет Common/Desert.jpg
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов Common/Jellyfish.jpg
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть Common/Jellyfish.jpg
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть Common/Jellyfish.jpg
2013-05-24 01:13:31 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы Common/Jellyfish.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Подсчет суммарного хеша модели 543
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла Common/Jellyfish.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/gun_30mm/30mm.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/gun_30mm/gun_30mm.mat
2013-05-24 01:13:32 DB tDatabaseOp 	 SearchInfo 	 Найден файл описания модели IL-2.info
2013-05-24 01:13:32 DB tDatabaseOp 	 SearchInfo 	 Такая модель в базе есть objects/Il-2/.IL-2_.info/IL-2.info
2013-05-24 01:13:32 DB tDatabaseOp 	 SearchInfo 	 Такая модель на диске есть objects/Il-2/.IL-2_.info/IL-2.info
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Подсчет суммарного хеша файлов модели IL-2.info
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckFile 	 Проверка файла objects/Il-2/.IL-2_.info/IL-2.info
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckFile 	 Файл в базе есть objects/Il-2/.IL-2_.info/IL-2.info
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckFile 	 Файл есть на диске objects/Il-2/.IL-2_.info/IL-2.info
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckFile 	 Файл не изменялся objects/Il-2/.IL-2_.info/IL-2.info
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckInfoFiles 	 Обработка файлов в инфо-папке C:/Server/Project 1/objects/Il-2/.IL-2_.info
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/Il-2/.IL-2_.info/Lighthouse - копия.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/Il-2/.IL-2_.info/Lighthouse - копия.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/Il-2/.IL-2_.info/Lighthouse - копия.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/Il-2/.IL-2_.info/Lighthouse.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/Il-2/.IL-2_.info/Lighthouse.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/Il-2/.IL-2_.info/Lighthouse.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckFile 	 Проверка файла objects/Il-2/.IL-2_.info/IL-2.files
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckFile 	 Файл в базе есть objects/Il-2/.IL-2_.info/IL-2.files
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckFile 	 Файл есть на диске objects/Il-2/.IL-2_.info/IL-2.files
2013-05-24 01:13:32 DB tDatabaseOp 	 CheckFile 	 Файл не изменялся objects/Il-2/.IL-2_.info/IL-2.files
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Проверим наличие файлов в базе и соответствие базе C:/Server/Project 1/objects/Il-2/.IL-2_.info/IL-2.files
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть C:/Server/Project 1/objects/Il-2/.IL-2_.info/IL-2.files
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/Il-2/IL-2_mask.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/Il-2/IL-2_mask.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/Il-2/IL-2_mask.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/Il-2/IL-2_mask.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/Il-2/IL-2_d.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/Il-2/IL-2_d.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/Il-2/IL-2_d.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/Il-2/IL-2_d.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/Il-2/IL-2_n.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/Il-2/IL-2_n.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/Il-2/IL-2_n.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/Il-2/IL-2_n.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/Il-2/IL-2_s.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/Il-2/IL-2_s.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/Il-2/IL-2_s.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/Il-2/IL-2_s.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/Il-2/IL-2_l.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/Il-2/IL-2_l.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/Il-2/IL-2_l.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/Il-2/IL-2_l.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов Common/Chrysanthemum.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть Common/Chrysanthemum.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть Common/Chrysanthemum.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы Common/Chrysanthemum.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Подсчет суммарного хеша модели 540
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла Common/Chrysanthemum.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/Il-2/.IL-2_.info/IL-2.files
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/Il-2/.IL-2_.info/IL-2.info
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/Il-2/.IL-2_.info/Lighthouse - копия.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/Il-2/.IL-2_.info/Lighthouse.jpg
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/Il-2/IL-2_d.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/Il-2/IL-2_l.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/Il-2/IL-2_mask.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/Il-2/IL-2_n.dds
2013-05-24 01:13:32 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/Il-2/IL-2_s.dds
2013-05-24 01:13:33 DB tDatabaseOp 	 SearchInfo 	 Найден файл описания модели msl_fab-100.info
2013-05-24 01:13:33 DB tDatabaseOp 	 SearchInfo 	 Такая модель в базе есть objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info
2013-05-24 01:13:33 DB tDatabaseOp 	 SearchInfo 	 Такая модель на диске есть objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Подсчет суммарного хеша файлов модели msl_fab-100.info
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckFile 	 Проверка файла objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckFile 	 Файл в базе есть objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckFile 	 Файл есть на диске objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckFile 	 Файл не изменялся objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckInfoFiles 	 Обработка файлов в инфо-папке C:/Server/Project 1/objects/msl_fab-100/.msl_fab-100.info
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/msl_fab-100/.msl_fab-100.info/Koala.jpg
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/msl_fab-100/.msl_fab-100.info/Koala.jpg
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/msl_fab-100/.msl_fab-100.info/Koala.jpg
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckFile 	 Проверка файла objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.files
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckFile 	 Файл в базе есть objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.files
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckFile 	 Файл есть на диске objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.files
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckFile 	 Файл не изменялся objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.files
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Проверим наличие файлов в базе и соответствие базе C:/Server/Project 1/objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.files
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть C:/Server/Project 1/objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.files
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/msl_fab-100/msl_fab-100.mat
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/msl_fab-100/msl_fab-100.mat
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/msl_fab-100/msl_fab-100.mat
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/msl_fab-100/msl_fab-100.mat
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/msl_fab-100/msl_fab-100.mesh
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/msl_fab-100/msl_fab-100.mesh
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/msl_fab-100/msl_fab-100.mesh
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/msl_fab-100/msl_fab-100.mesh
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/msl_fab-100/msl_fab-100.node
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/msl_fab-100/msl_fab-100.node
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/msl_fab-100/msl_fab-100.node
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/msl_fab-100/msl_fab-100.node
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/msl_fab-100/msl_fab-100.xml
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/msl_fab-100/msl_fab-100.xml
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/msl_fab-100/msl_fab-100.xml
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/msl_fab-100/msl_fab-100.xml
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/msl_fab-100/msl_fab-100_d.dds
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/msl_fab-100/msl_fab-100_d.dds
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/msl_fab-100/msl_fab-100_d.dds
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/msl_fab-100/msl_fab-100_d.dds
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/msl_fab-100/msl_fab-100_n.dds
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/msl_fab-100/msl_fab-100_n.dds
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/msl_fab-100/msl_fab-100_n.dds
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/msl_fab-100/msl_fab-100_n.dds
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Подсчет суммарного хеша модели 531
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/msl_fab-100/.msl_fab-100.info/Koala.jpg
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.files
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/msl_fab-100/msl_fab-100.mat
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/msl_fab-100/msl_fab-100.mesh
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/msl_fab-100/msl_fab-100.node
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/msl_fab-100/msl_fab-100.xml
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/msl_fab-100/msl_fab-100_d.dds
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/msl_fab-100/msl_fab-100_n.dds
2013-05-24 01:13:33 DB tDatabaseOp 	 SearchInfo 	 Найден файл описания модели t-34.info
2013-05-24 01:13:33 DB tDatabaseOp 	 SearchInfo 	 Такая модель в базе есть objects/vhc_t-34/.t-34.info/t-34.info
2013-05-24 01:13:33 DB tDatabaseOp 	 SearchInfo 	 Такая модель на диске есть objects/vhc_t-34/.t-34.info/t-34.info
2013-05-24 01:13:33 DB tDatabaseOp 	 UpdateModelFiles 	 Подсчет суммарного хеша файлов модели t-34.info
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckFile 	 Проверка файла objects/vhc_t-34/.t-34.info/t-34.info
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckFile 	 Файл в базе есть objects/vhc_t-34/.t-34.info/t-34.info
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckFile 	 Файл есть на диске objects/vhc_t-34/.t-34.info/t-34.info
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckFile 	 Файл не изменялся objects/vhc_t-34/.t-34.info/t-34.info
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckInfoFiles 	 Обработка файлов в инфо-папке C:/Server/Project 1/objects/vhc_t-34/.t-34.info
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/vhc_t-34/.t-34.info/Chrysanthemum - копия.jpg
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/vhc_t-34/.t-34.info/Chrysanthemum - копия.jpg
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/vhc_t-34/.t-34.info/Chrysanthemum - копия.jpg
