2013-05-24 00:34:16 MainForm 	 OnListFiles 	 Запрос с главной формы GetListModels через RunGui
2013-05-24 00:34:29 tConveyor 	OnCommand	Выполнение команды из сокета ReportStartTransaction
2013-05-24 00:34:29 tClientGuiCommand 	GuiReportStartTransaction	Отчет о начале транзакции 
2013-05-24 00:34:29 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:34:29 tConveyor 	OnCommand	Выполнение команды из GUI PrepareReceiveFile
2013-05-24 00:34:29 tClientGuiCommand 	GuiPrepareReceiveFile	Подготовка к приему файла objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 00:34:29 socket 	OnCommand	Получена команда PrepareReceiveFile
2013-05-24 00:34:29 tPrepareReceiveFile 	ExeCommand	 Отправление команды приема файла на сервер 
2013-05-24 00:34:29 socket 	ReadReport	Report: 1
2013-05-24 00:34:29 tStreamReceiveFile 	ExeCommand	 Прием файла objects/gun_30mm/.gun_30mm.info/gun_30mm.info завершен
2013-05-24 00:34:29 tConveyor 	OnCommand	Выполнение команды из сокета ReceiveReport
2013-05-24 00:34:29 tClientGuiCommand 	GuiReportReceiveFile	Отчет о приеме файла D:/Temp1/objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 00:34:29 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:34:29 tConveyor 	OnCommand	Выполнение команды из GUI PrepareReceiveFile
2013-05-24 00:34:29 tClientGuiCommand 	GuiPrepareReceiveFile	Подготовка к приему файла objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg
2013-05-24 00:34:29 socket 	OnCommand	Получена команда PrepareReceiveFile
2013-05-24 00:34:29 tPrepareReceiveFile 	ExeCommand	 Отправление команды приема файла на сервер 
2013-05-24 00:34:30 socket 	ReadReport	Report: 1
2013-05-24 00:34:30 tStreamReceiveFile 	ExeCommand	 Прием файла objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg завершен
2013-05-24 00:34:30 tConveyor 	OnCommand	Выполнение команды из сокета ReceiveReport
2013-05-24 00:34:30 tClientGuiCommand 	GuiReportReceiveFile	Отчет о приеме файла D:/Temp1/objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg
2013-05-24 00:34:30 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:34:30 tConveyor 	OnCommand	Выполнение команды из GUI PrepareReceiveFile
2013-05-24 00:34:30 tClientGuiCommand 	GuiPrepareReceiveFile	Подготовка к приему файла objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 00:34:30 socket 	OnCommand	Получена команда PrepareReceiveFile
2013-05-24 00:34:30 tPrepareReceiveFile 	ExeCommand	 Отправление команды приема файла на сервер 
2013-05-24 00:34:30 socket 	ReadReport	Report: 1
2013-05-24 00:34:30 tStreamReceiveFile 	ExeCommand	 Прием файла objects/gun_30mm/.gun_30mm.info/gun_30mm.files завершен
2013-05-24 00:34:30 tConveyor 	OnCommand	Выполнение команды из сокета ReceiveReport
2013-05-24 00:34:30 tClientGuiCommand 	GuiReportReceiveFile	Отчет о приеме файла D:/Temp1/objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 00:34:30 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:34:30 tConveyor 	OnCommand	Выполнение команды из GUI PrepareReceiveFile
2013-05-24 00:34:30 tClientGuiCommand 	GuiPrepareReceiveFile	Подготовка к приему файла objects/gun_30mm/30mm.dds
2013-05-24 00:34:30 socket 	OnCommand	Получена команда PrepareReceiveFile
2013-05-24 00:34:30 tPrepareReceiveFile 	ExeCommand	 Отправление команды приема файла на сервер 
2013-05-24 00:34:30 socket 	ReadReport	Report: 1
2013-05-24 00:34:30 tStreamReceiveFile 	ExeCommand	 Прием файла objects/gun_30mm/30mm.dds завершен
2013-05-24 00:34:30 tConveyor 	OnCommand	Выполнение команды из сокета ReceiveReport
2013-05-24 00:34:30 tClientGuiCommand 	GuiReportReceiveFile	Отчет о приеме файла D:/Temp1/objects/gun_30mm/30mm.dds
2013-05-24 00:34:30 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:34:30 tConveyor 	OnCommand	Выполнение команды из GUI PrepareReceiveFile
2013-05-24 00:34:30 tClientGuiCommand 	GuiPrepareReceiveFile	Подготовка к приему файла objects/gun_30mm/gun_30mm.mat
2013-05-24 00:34:30 socket 	OnCommand	Получена команда PrepareReceiveFile
2013-05-24 00:34:30 tPrepareReceiveFile 	ExeCommand	 Отправление команды приема файла на сервер 
2013-05-24 00:34:30 socket 	ReadReport	Report: 1
2013-05-24 00:34:30 tStreamReceiveFile 	ExeCommand	 Прием файла objects/gun_30mm/gun_30mm.mat завершен
2013-05-24 00:34:30 tConveyor 	OnCommand	Выполнение команды из сокета ReceiveReport
2013-05-24 00:34:30 tClientGuiCommand 	GuiReportReceiveFile	Отчет о приеме файла D:/Temp1/objects/gun_30mm/gun_30mm.mat
2013-05-24 00:34:30 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:34:30 tConveyor 	OnCommand	Выполнение команды из GUI PrepareReceiveFile
2013-05-24 00:34:30 tClientGuiCommand 	GuiPrepareReceiveFile	Подготовка к приему файла Common/Jellyfish.jpg
2013-05-24 00:34:30 socket 	OnCommand	Получена команда PrepareReceiveFile
2013-05-24 00:34:30 tPrepareReceiveFile 	ExeCommand	 Отправление команды приема файла на сервер 
2013-05-24 00:34:30 socket 	ReadReport	Report: 1
2013-05-24 00:34:30 tStreamReceiveFile 	ExeCommand	 Прием файла Common/Jellyfish.jpg завершен
2013-05-24 00:34:30 tConveyor 	OnCommand	Выполнение команды из сокета ReceiveReport
2013-05-24 00:34:30 tClientGuiCommand 	GuiReportReceiveFile	Отчет о приеме файла D:/Temp1/Common/Jellyfish.jpg
2013-05-24 00:34:30 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:34:30 tConveyor 	OnCommand	Выполнение команды из GUI CommitTransaction
2013-05-24 00:34:30 tClientGuiCommand 	GuiCommitTransaction	Коммит транзакции 
2013-05-24 00:34:30 socket 	OnCommand	Получена команда CommitTransaction
2013-05-24 00:34:30 tStreamCommitTransaction 	ExeCommand	 Отправка команды коммита транзакции 
2013-05-24 00:34:30 socket 	ReadReport	Report: 7
2013-05-24 00:34:30 tStreamReportCommitTransaction 	ExeCommand	 Коммит завершился успешно 
2013-05-24 00:34:30 tConveyor 	OnCommand	Выполнение команды из сокета ReportCommitTransaction
2013-05-24 00:34:30 tClientGuiCommand 	GuiCommitTransaction	отчет о коммите транзакции 
2013-05-24 00:34:30 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:34:30 tConveyor 	OnCommand	Выполнение команды из GUI VerifyMoveDelete
2013-05-24 00:34:30 tClientGuiCommand 	VerifyMoveDelete	 Команда проверки, замены и удаления локальных файлов
2013-05-24 00:35:39 tDatabaseOp 	PrepareUpdateLastSynch	НАЧАЛО ПОДГОТОВКИ ОБНОВЛЕНИЯ LAST 
2013-05-24 00:35:39 tDatabaseOp 	PrepareUpdateLastSynch	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:35:39 tDatabaseOp 	UpdateLastSynchMark	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:35:39 tDatabaseOp 	UpdateLastSynchMark	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:35:39 tDatabaseOp 	UpdateLastSynchMark	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:35:39 tDatabaseOp 	UpdateLastSynchMark	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:35:39 tDatabaseOp 	UpdateLastSynchMark	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:35:40 tDatabaseOp 	UpdateLastSynchMark	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:35:43 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:35:43 tConveyor 	OnCommand	Выполнение команды из GUI UpdateMainLocal
2013-05-24 00:35:43 tClientGuiCommand 	UpdateMainLocal	 Обновление локальных и Last таблиц 
2013-05-24 00:35:43 tDatabaseOp 	RefreshModelsFiles	Обновление локальных таблиц по файлам на диске  
2013-05-24 00:35:44 tConveyor 	NextCommand	Конец списка команд 
2013-05-24 00:35:44 tConveyor 	ClearTempFolder	Очистка временной папки
2013-05-24 00:35:44 tConveyor 	ClearTempFolder	Очистка временной папки
2013-05-24 00:35:44 tConveyor 	Clear	Сброс списка команд транзакции
2013-05-24 00:35:44 tModelsConveyor 	StartReceiveDeleteFiles	Формирование списка команд транзакции приема и удаления файлов на клиенте
2013-05-24 00:35:44 tConveyor 	ClearTempFolder	Очистка временной папки
2013-05-24 00:35:44 tConveyor 	DeletingFile	Подготовка команды удаления файла на клиенте objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 00:35:44 tConveyor 	DeletingFile	Подготовка команды удаления файла на клиенте objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg
2013-05-24 00:35:44 tConveyor 	DeletingFile	Подготовка команды удаления файла на клиенте objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 00:35:44 tConveyor 	DeletingFile	Подготовка команды удаления файла на клиенте objects/gun_30mm/30mm.dds
2013-05-24 00:35:44 tConveyor 	DeletingFile	Подготовка команды удаления файла на клиенте objects/gun_30mm/gun_30mm.mat
2013-05-24 00:35:44 tConveyor 	DeletingFile	Подготовка команды удаления файла на клиенте Common/Jellyfish.jpg
2013-05-24 00:35:44 tConveyor 	AddStartTransaction	Добавление команды начала транзакции (получение) 
2013-05-24 00:35:44 tConveyor 	AddCommitTransaction	Формирование команды коммита транзакции получения VerifyMoveDelete
2013-05-24 00:35:44 tConveyor 	AddCommitTransaction	Команда обновления локальных таблиц UpdateMainLocal
2013-05-24 00:35:44 tConveyor 	StartExecution	Начало выполнения списка команд 
2013-05-24 00:35:44 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:35:44 tConveyor 	OnCommand	Выполнение команды из GUI VerifyMoveDelete
2013-05-24 00:35:44 tClientGuiCommand 	VerifyMoveDelete	 Команда проверки, замены и удаления локальных файлов
----------------------------------------------------
2013-05-24 00:42:16 tSettings 	SetFilePath	Read parameters 
2013-05-24 00:42:16 tSettings 	sync	Save parameters 
2013-05-24 00:42:16 tDatabaseOp 	DatabaseOp	Подключение базы данных  
2013-05-24 00:42:17 Начало работы клиента
2013-05-24 00:42:17 socket 	Initialize	Создание сокета 
2013-05-24 00:42:17 Zast 	FindServer	Начало поиска сервера 
2013-05-24 00:42:17 socket 	ReadReport	Report: 3
2013-05-24 00:42:17 tConnectConfirmReport 	ExeCommand	 Подтверждение соединения 
2013-05-24 00:42:17 tConveyor 	OnCommand	Выполнение команды из сокета ConnectConfirmReport
2013-05-24 00:42:17 tClientGuiCommand 	GuiConnectConfirmReport	Подключение разрешено
2013-05-24 00:42:17 Zast 	AutorizStart	Сервер найден 
2013-05-24 00:42:20 tModelsConveyor 	ReceiveLoginsTable	 Запрос таблицы логинов
2013-05-24 00:42:20 tConveyor 	OnCommand	Выполнение команды из GUI GUIReceiveLoginsTable
2013-05-24 00:42:20 tClientGuiCommand 	tGUIGetLoginsTable	 Передача команды запроса таблицы логинов 
2013-05-24 00:42:20 socket 	OnCommand	Получена команда ReceiveLoginsTable
2013-05-24 00:42:20 tGetLoginsTable 	ExeCommand	 Команда запроса таблицы логинов 
2013-05-24 00:42:20 socket 	ReadReport	Report: 14
2013-05-24 00:42:20 tStreamReportReceiveLoginsTable 	ExeCommand	 Получение списка логинов с сервера 
2013-05-24 00:42:20 tConveyor 	OnCommand	Выполнение команды из сокета GUIReportReceiveLoginsTable
2013-05-24 00:42:20 tClientGuiCommand 	GetListModels	 Отчет запроса списка моделей с сервера
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	Обновление таблицы логинов  
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Количество полученых логинов 4
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Номер 1
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Логин a
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Хэш 86f7e437faa5a7fce15d1ddcb9eaeaea377667b8
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 NoDelete 1
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Writable 1
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Номер 9
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Логин 3
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Хэш 77de68daecd823babbb58edb1c8e14d7106e83bb
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 NoDelete 0
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Writable 1
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Номер 14
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Логин 1
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Хэш 356a192b7913b04c54574d18c28d46e6395428ab
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 NoDelete 0
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Writable 1
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Номер 24
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Логин 2
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Хэш da4b9237bacccdf19c0760cab7aec4a8359010b0
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 NoDelete 0
2013-05-24 00:42:20 tDatabaseOp 	UpdateLogins	 Writable 0
2013-05-24 00:42:20 показ формы авторизации
2013-05-24 00:42:23 Отправка авторизации Логин: a
2013-05-24 00:42:23 tConveyor 	OnCommand	Выполнение команды из GUI SendAutorization
2013-05-24 00:42:23 tClientGuiCommand 	GuiSendAutorization	Отправка логина и пароля Логин: a
2013-05-24 00:42:23 socket 	OnCommand	Получена команда SendAutorization
2013-05-24 00:42:23 tStreamSendAutorization 	ExeCommand	 Отправка авторизации  a
2013-05-24 00:42:23 socket 	ReadReport	Report: 5
2013-05-24 00:42:23 tStreamReportAutorization 	ExeCommand	 Авторизация успешна 
2013-05-24 00:42:23 tConveyor 	OnCommand	Выполнение команды из сокета ReportAutorization
2013-05-24 00:42:23 tClientGuiCommand 	GuiReportAutorization	Отчет об авторизации. Авторизация принята 
2013-05-24 00:42:23 tDatabaseOp 	RefreshModelsFiles	Обновление локальных таблиц по файлам на диске  
2013-05-24 00:42:23 tDatabaseOp 	RefreshModelsFiles	Обновление локальных таблиц по файлам на диске  
2013-05-24 00:42:25 MainForm 	 OnListFiles 	 Запрос с главной формы GetListModels через RunGui
2013-05-24 00:42:25 tConveyor 	OnCommand	Выполнение команды из GUI GetListModels
2013-05-24 00:42:25 tClientGuiCommand 	GetListModels	 Запрос списка моделей с сервера
2013-05-24 00:42:25 socket 	OnCommand	Получена команда GetListModels
2013-05-24 00:42:25 tGetServerListModels 	ExeCommand	 Запрос списка моделей с сервера 
2013-05-24 00:42:25 socket 	ReadReport	Report: 11
2013-05-24 00:42:25 tReportGetListServerModels 	ExeCommand	 Получение списка моделей с сервера 
2013-05-24 00:42:25 tConveyor 	OnCommand	Выполнение команды из сокета ReportGetListServerModels
2013-05-24 00:42:25 tClientGuiCommand 	GetListModels	 Отчет запроса списка моделей с сервера
2013-05-24 00:42:25 tClientGuiCommand 	GetListModels	 Вызов обновления серверных таблиц
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	Обновление серверных таблиц по информации с сервера  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Сброс Found серверных моделей. Число моделей 6
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Фугасная авиабомба ФАБ-100
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Кабина танка Т-90
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Танк T-90
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Танк T-34
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Ил-2
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Орудие 30мм (upd2-1)
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Удаление ненайденых моделей  
2013-05-24 00:42:25 tDatabaseOp 	SaveServerModelFiles	 Обновление серверных таблиц завершено  
2013-05-24 00:42:25 tClientGuiCommand 	GetListModels	 Запуск. Обращение к серверу для обновления таблицы разрешений на чтение
2013-05-24 00:42:25 tClientGuiCommand 	GuiReportPrepareSendFile	Запрос таблицы разрешений на чтение моделей 
2013-05-24 00:42:25 tConveyor 	OnCommand	Выполнение команды из GUI ReceiveReadPermissions
2013-05-24 00:42:25 tClientGuiCommand 	tGUIReceiveReadPermissions	 Передача команды запроса таблицы разрешений 
2013-05-24 00:42:25 socket 	OnCommand	Получена команда ReceiveReadPermissions
2013-05-24 00:42:25 tStreamReceiveReadPermissions 	ExeCommand	 Команда запроса таблицы разрешений на чтение 
2013-05-24 00:42:25 socket 	ReadReport	Report: 15
2013-05-24 00:42:25 tStreamReportReceiveLoginsTable 	ExeCommand	 Получение списка разрешений на чтение моделей с сервера 
